Depth (ft),Weight on bit (k-lbs),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),ROP (ft/hr)
686.58,7.63,53.67,76.76,82.9,930.94,114.48
687.6,4.56,56.74,73.97,81.53,855.99,120.41
688.61,5.88,55.42,75.5,79.58,842.48,107.76
689.63,11.84,49.46,72.03,84.61,862.11,119.82
690.69,12.74,48.56,71.19,82.81,884.64,122.64
691.74,11.65,49.65,70.28,85.95,884.85,122.66
692.76,12.96,48.34,98.41,51.63,888.12,118.2
693.78,11.16,50.14,97.99,82.23,889.96,120.42
694.8,12.17,49.13,104.09,74.73,891.19,122.11
695.81,11.8,49.5,107.37,71.07,893.03,120.37
696.89,11.72,49.58,113.51,74.12,810.91,122.28
697.93,11.46,49.84,118.05,71.34,895.27,124.42
698.94,9.89,51.41,121.06,68.47,810.49,122.12
699.96,8.39,52.91,105.89,97.27,850.02,120.44
701,12.36,48.94,122.81,77.59,831.8,120.42
702.02,12.02,49.28,117.21,82.9,800.88,116.82
703.05,11.05,50.25,106.8,96.85,872.77,122.64
704.07,16.45,44.85,119.65,77.35,893.47,118.18
705.09,15.29,46.01,114.5,81.93,895.52,111.03
706.11,15.96,45.34,110.42,82.66,893.47,91.06
707.12,15.85,45.45,128.38,64.99,890.2,91.61
708.16,16.3,45,122.13,71.71,886.71,106.66
709.18,15.36,45.94,128.38,64.48,887.33,79.69
710.2,15.81,45.49,132.23,74.42,887.74,96.44
711.22,15.55,45.75,128.42,80.58,886.31,83.29
712.23,17.24,44.06,128.99,77.59,884.88,104.69
713.25,16.3,45,124.3,83.45,885.7,60.11
714.27,14.91,46.39,134.78,69.75,882.01,64.41
715.29,16.22,45.08,133.41,75.25,886.31,85.24
716.31,16.6,44.7,126.36,80,883.86,81.18
717.32,13.45,47.85,131.09,79.33,881.61,87.25
718.34,11.57,49.73,122.89,87.27,881,122.12
719.36,16.86,44.44,116.56,89.98,880.39,96.42
720.38,5.27,54.23,63.53,89.65,890.79,30.54
721.42,10.96,48.54,77.18,77.05,894.9,73.23
722.43,8.64,50.86,73.33,81.29,900.83,99.03
723.45,5.84,53.66,70.77,104.72,884.86,89.39
724.47,6.16,53.34,67.49,85.28,818.52,122.05
725.54,9.94,49.56,79.39,72.65,875.02,77.44
726.56,10.71,48.79,86.82,78.36,905.93,81.42
727.6,13.15,46.35,82.59,86.56,906.55,107.54
728.62,13.07,46.43,84.8,77.47,909.41,107.76
729.67,10.06,49.44,85.76,75.49,909.4,96.78
730.69,11.28,48.22,84.31,81.04,916.77,91.61
731.75,11.85,47.65,87.39,80,914.72,97.5
732.76,11.36,48.14,91.4,75.76,867.02,101.78
733.78,10.67,48.83,85.11,80.95,889.95,96.43
734.8,12.95,46.55,83.66,82.78,853.3,101.77
735.82,11.2,48.3,82.44,82.66,867.84,98.25
736.87,12.09,47.41,83.16,83.7,813.16,111.82
737.89,10.22,49.28,82.67,83.67,873.98,107.76
738.93,3.64,55.86,65.7,109.39,902.24,122.63
739.95,5.76,53.74,71.88,88.18,729.63,118.18
740.98,9.98,49.52,117.86,59.17,877.05,124.86
742,4.86,54.64,113.62,71.25,912.48,122.11
743.04,4.66,54.84,109.24,72.16,913.91,120.4
744.06,4.98,54.52,112.06,71.92,897.73,122.11
745.07,9.49,50.01,116.26,65.88,854.12,121.23
746.09,5.06,54.44,115.95,79.79,800.88,122.12
747.13,5.35,54.15,111.3,82.96,850.85,124.42
748.14,3.32,56.18,121.02,78.78,906.34,122.11
749.18,7.99,51.51,119.15,84.76,783.07,120.42
750.2,7.1,52.4,129.71,76.53,757.47,122.12
751.22,7.71,51.79,119.5,87.57,903.05,122.12
752.25,8.76,50.74,118.5,85.62,915.75,124.43
753.27,2.61,55.69,98.49,91.69,900.82,119.8
754.3,3.74,54.56,115.42,63.59,913.97,119.8
755.33,5.16,53.14,130.29,71.37,915.21,119.8
756.34,8.33,49.97,136.12,70.55,889.58,121.5
757.36,6.51,51.79,137.45,81.53,892.83,121.5
758.37,5.25,53.05,136.35,82.32,893.03,121.5
759.38,4.27,54.03,133.64,85.01,890.78,119.8
760.39,5.73,52.57,129.14,89.22,892.21,121.5
761.42,3.42,54.88,132,85.44,891.8,122.64
762.46,6.06,52.24,130.9,86.26,875.42,119.8
763.47,6.3,52,136.96,77.2,884.22,120.75
764.48,6.38,51.92,135.85,80.83,897.52,121.5
765.51,6.87,51.43,154.53,64.14,898.94,119.8
766.53,7.52,50.78,152.4,78.17,902.42,121.5
767.56,6.46,51.84,145.54,80.19,903.04,119.8
768.59,9.88,48.42,147.4,80.55,833.62,123.79
769.62,6.67,51.63,143.36,85.1,900.17,119.8
770.63,4.72,53.58,139.97,87.91,899.14,121.5
771.66,5.04,53.26,136.77,87.69,900.37,123.79
772.7,8.33,49.97,151.37,75.83,895.66,119.8
773.71,7.89,50.41,156.06,70.76,897.1,121.5
774.72,8.25,50.05,147.44,77.69,897.71,121.5
775.73,8.01,50.29,144.81,82.05,896.48,117.58
776.76,10.57,47.73,140.96,85.74,894.64,119.8
777.8,9.47,48.83,149.31,76.4,893.62,123.79
778.81,7.44,50.86,139.28,90.16,894.85,121.5
779.84,6.1,52.2,139.55,88.55,832.8,119.8
780.87,7.28,51.02,145.15,85.13,896.07,123.79
781.88,7.2,51.1,142.68,84.37,895.05,121.5
782.92,9.76,48.54,139.78,87.14,893.2,119.8
783.95,12.47,47.83,135.74,77.23,833.89,117.46
784.98,9.67,50.63,139.44,80.28,859.51,119.2
786,11.52,48.78,136.42,84.7,861.36,121.5
787.03,6.41,53.89,135.17,83.64,868.74,119.8
788.04,9.42,50.88,141.88,77.23,865.05,121.5
789.05,10,50.3,135.28,84.49,863.01,121.5
790.07,10.16,50.14,136.58,80.28,864.03,121.5
791.1,14.37,45.93,141.53,77.72,865.06,116.06
792.11,11.44,48.86,139.55,79.76,864.24,113.91
793.12,10.41,49.89,141.23,76.28,865.67,121.5
794.13,10.61,49.69,141.04,77.81,864.86,121.5
795.15,8.59,51.71,143.55,74.39,865.68,121.5
796.2,10.24,50.06,140.69,83.18,864.65,118.21
797.23,4.96,55.34,144.28,82.32,864.86,119.8
798.24,8.22,52.08,142.98,83.36,887.13,121.5
799.27,4.1,56.2,125.33,99.47,874.02,123.79
800.29,5.71,54.59,145.57,85.71,888.15,121.5
801.32,5.58,54.72,136.5,87.05,888.56,119.8
802.33,2.41,57.89,132.76,89.71,892.86,121.5
803.36,5.87,54.43,131.73,81.68,893.68,123.79
804.37,5.21,55.09,131.58,76.04,891.02,120.74
805.39,5.46,54.84,132.99,80.4,888.35,121.5
806.42,5.42,54.88,132.46,81.35,888.76,123.79
